赛事,样本量,理论概率_胜,理论概率_平,理论概率_负,真实频率_胜,真实频率_平,真实频率_负,卡方统计量,P值,当前期数id
世南美预,17.0,0.456,0.252,0.292,0.588,0.412,0.0,7.347,0.025,25007
亚冠,35.0,0.498,0.231,0.272,0.6,0.286,0.114,4.389,0.111,25007
亚洲杯,12.0,0.395,0.26,0.345,0.333,0.417,0.25,1.564,0.458,25007
友谊赛,40.0,0.536,0.224,0.24,0.475,0.3,0.225,1.333,0.513,25007
国王杯,3.0,0.51,0.279,0.212,0.333,0.667,0.0,2.437,0.296,25007
天皇杯,31.0,0.385,0.24,0.376,0.452,0.097,0.452,3.475,0.176,25007
奥运女足,22.0,0.468,0.214,0.318,0.5,0.045,0.455,4.264,0.119,25007
奥运男足,27.0,0.421,0.24,0.339,0.481,0.111,0.407,2.465,0.292,25007
德乙,59.0,0.437,0.251,0.312,0.475,0.186,0.339,1.303,0.521,25007
德国杯,19.0,0.451,0.213,0.337,0.579,0.105,0.316,1.745,0.418,25007
德甲,245.0,0.446,0.227,0.327,0.408,0.253,0.339,1.621,0.445,25007
德超杯,1.0,0.549,0.232,0.219,0.0,1.0,0.0,3.308,0.191,25007
意大利杯,18.0,0.579,0.237,0.184,0.778,0.056,0.167,3.749,0.153,25007
意甲,231.0,0.42,0.26,0.32,0.364,0.338,0.299,7.405,0.025,25007
意超杯,1.0,0.535,0.266,0.199,1.0,0.0,0.0,0.869,0.648,25007
挪超,67.0,0.468,0.237,0.295,0.373,0.299,0.328,2.612,0.271,25007
日联杯,10.0,0.276,0.263,0.461,0.3,0.4,0.3,1.294,0.524,25007
欧冠,151.0,0.469,0.228,0.303,0.49,0.199,0.311,0.731,0.694,25007
欧协联,55.0,0.473,0.244,0.282,0.436,0.309,0.255,1.256,0.534,25007
欧国联,112.0,0.446,0.244,0.31,0.438,0.241,0.321,0.073,0.964,25007
欧洲杯,51.0,0.41,0.256,0.333,0.333,0.373,0.294,3.65,0.161,25007
欧洲超级杯,1.0,0.615,0.211,0.174,1.0,0.0,0.0,0.627,0.731,25007
欧联,146.0,0.469,0.24,0.29,0.486,0.253,0.26,0.652,0.722,25007
欧预赛,8.0,0.505,0.262,0.233,0.625,0.25,0.125,0.631,0.73,25007
法乙,91.0,0.411,0.282,0.307,0.473,0.253,0.275,1.417,0.492,25007
法国杯,7.0,0.466,0.204,0.33,0.571,0.143,0.286,0.336,0.845,25007
法甲,131.0,0.436,0.247,0.317,0.389,0.267,0.344,1.182,0.554,25007
瑞典超,66.0,0.443,0.25,0.306,0.591,0.091,0.318,9.952,0.007,25007
社区盾杯,1.0,0.508,0.243,0.249,0.0,1.0,0.0,3.117,0.21,25007
